package_time,extruder,machine,position,threadline,thread_presence,winder_status,magnitude,raw_magnitude,raw_phase,amplitude,nodes_per_sample,doff_change,start_of_package,end_of_package,thread_presence_change,start_of_line_break,end_of_line_break
0 days 00:00:00.000000000,26,1,L,A,1.0,2.0,1052.0,1237.0,220.0,455.0,184.0,0,False,False,0,False,False
0 days 00:00:00.200000000,26,1,L,A,1.0,2.0,1007.0,1192.0,217.0,393.0,178.0,0,False,False,0,False,False
0 days 00:00:00.400000000,26,1,L,A,1.0,2.0,976.0,1161.0,215.0,408.0,175.0,0,False,False,0,False,False
0 days 00:00:00.600000000,26,1,L,A,1.0,2.0,1063.0,1248.0,220.0,526.0,170.0,0,False,False,0,False,False
0 days 00:00:00.800000000,26,1,L,A,1.0,2.0,1090.0,1275.0,222.0,463.0,184.0,0,False,False,0,False,False
0 days 00:00:01.000000000,26,1,L,A,1.0,2.0,1005.0,1190.0,217.0,398.0,182.0,0,False,False,0,False,False
0 days 00:00:01.200000000,26,1,L,A,1.0,2.0,967.0,1152.0,215.0,419.0,182.0,0,False,False,0,False,False
0 days 00:00:01.400000000,26,1,L,A,1.0,2.0,954.0,1139.0,214.0,392.0,178.0,0,False,False,0,False,False
0 days 00:00:01.600000000,26,1,L,A,1.0,2.0,920.0,1105.0,212.0,394.0,174.0,0,False,False,0,False,False
0 days 00:00:01.800000000,26,1,L,A,1.0,2.0,918.0,1103.0,212.0,390.0,183.0,0,False,False,0,False,False
0 days 00:00:02.000000000,26,1,L,A,1.0,2.0,958.0,1143.0,214.0,413.0,181.0,0,False,False,0,False,False
0 days 00:00:02.200000000,26,1,L,A,1.0,2.0,974.0,1159.0,215.0,416.0,181.0,0,False,False,0,False,False
0 days 00:00:02.400000000,26,1,L,A,1.0,2.0,1001.0,1186.0,217.0,467.0,174.0,0,False,False,0,False,False
0 days 00:00:02.600000000,26,1,L,A,1.0,2.0,1011.0,1196.0,217.0,435.0,175.0,0,False,False,0,False,False
0 days 00:00:02.800000000,26,1,L,A,1.0,2.0,987.0,1172.0,216.0,423.0,184.0,0,False,False,0,False,False
