package_time,extruder,machine,position,threadline,thread_presence,winder_status,magnitude,raw_magnitude,raw_phase,amplitude,nodes_per_sample,doff_change,start_of_package,end_of_package,thread_presence_change,start_of_line_break,end_of_line_break
0 days 00:00:00.000000000,26,1,R,B,1.0,2.0,835.0,1195.0,-131.0,364.0,180.0,1,True,False,0,False,False
0 days 00:00:00.200000000,26,1,R,B,1.0,2.0,836.0,1196.0,-130.0,403.0,171.0,0,False,False,0,False,False
0 days 00:00:00.400000000,26,1,R,B,1.0,2.0,830.0,1190.0,-131.0,360.0,178.0,0,False,False,0,False,False
0 days 00:00:00.600000000,26,1,R,B,1.0,2.0,786.0,1146.0,-134.0,352.0,184.0,0,False,False,0,False,False
0 days 00:00:00.800000000,26,1,R,B,1.0,2.0,810.0,1170.0,-132.0,385.0,180.0,0,False,False,0,False,False
0 days 00:00:01.000000000,26,1,R,B,1.0,2.0,839.0,1199.0,-131.0,395.0,180.0,0,False,False,0,False,False
0 days 00:00:01.200000000,26,1,R,B,1.0,2.0,847.0,1207.0,-130.0,406.0,184.0,0,False,False,0,False,False
0 days 00:00:01.400000000,26,1,R,B,1.0,2.0,876.0,1236.0,-128.0,421.0,173.0,0,False,False,0,False,False
0 days 00:00:01.600000000,26,1,R,B,1.0,2.0,939.0,1299.0,-124.0,476.0,184.0,0,False,False,0,False,False
0 days 00:00:01.800000000,26,1,R,B,1.0,2.0,944.0,1304.0,-123.0,410.0,175.0,0,False,False,0,False,False
0 days 00:00:02.000000000,26,1,R,B,1.0,2.0,892.0,1252.0,-127.0,419.0,181.0,0,False,False,0,False,False
0 days 00:00:02.200000000,26,1,R,B,1.0,2.0,872.0,1232.0,-129.0,407.0,174.0,0,False,False,0,False,False
0 days 00:00:02.400000000,26,1,R,B,1.0,2.0,834.0,1194.0,-131.0,385.0,175.0,0,False,False,0,False,False
0 days 00:00:02.600000000,26,1,R,B,1.0,2.0,786.0,1146.0,-135.0,359.0,174.0,0,False,False,0,False,False
0 days 00:00:02.800000000,26,1,R,B,1.0,2.0,787.0,1147.0,-134.0,387.0,178.0,0,False,False,0,False,False
0 days 00:00:03.000000000,26,1,R,B,1.0,2.0,797.0,1157.0,-133.0,370.0,186.0,0,False,False,0,False,False
0 days 00:00:03.200000000,26,1,R,B,1.0,2.0,797.0,1157.0,-133.0,373.0,175.0,0,False,False,0,False,False
0 days 00:00:03.400000000,26,1,R,B,1.0,2.0,826.0,1186.0,-131.0,391.0,186.0,0,False,False,0,False,False
0 days 00:00:03.600000000,26,1,R,B,1.0,2.0,862.0,1222.0,-129.0,399.0,175.0,0,False,False,0,False,False
0 days 00:00:03.800000000,26,1,R,B,1.0,2.0,905.0,1265.0,-126.0,438.0,189.0,0,False,False,0,False,False
0 days 00:00:04.000000000,26,1,R,B,1.0,2.0,961.0,1321.0,-122.0,482.0,178.0,0,False,False,0,False,False
0 days 00:00:04.200000000,26,1,R,B,1.0,2.0,968.0,1328.0,-122.0,444.0,181.0,0,False,False,0,False,False
0 days 00:00:04.400000000,26,1,R,B,1.0,2.0,923.0,1283.0,-124.0,427.0,178.0,0,False,False,0,False,False
0 days 00:00:04.600000000,26,1,R,B,1.0,2.0,848.0,1208.0,-130.0,376.0,179.0,0,False,False,0,False,False
0 days 00:00:04.800000000,26,1,R,B,1.0,2.0,803.0,1163.0,-133.0,383.0,174.0,0,False,False,0,False,False
0 days 00:00:05.000000000,26,1,R,B,1.0,2.0,793.0,1153.0,-133.0,364.0,182.0,0,False,False,0,False,False
0 days 00:00:05.200000000,26,1,R,B,1.0,2.0,764.0,1124.0,-136.0,347.0,173.0,0,False,False,0,False,False
0 days 00:00:05.400000000,26,1,R,B,1.0,2.0,785.0,1145.0,-134.0,399.0,165.0,0,False,False,0,False,False
0 days 00:00:05.600000000,26,1,R,B,1.0,2.0,763.0,1123.0,-135.0,344.0,175.0,0,False,False,0,False,False
0 days 00:00:05.800000000,26,1,R,B,1.0,2.0,718.0,1078.0,-138.0,340.0,179.0,0,False,False,0,False,False
0 days 00:00:06.000000000,26,1,R,B,1.0,2.0,747.0,1107.0,-136.0,361.0,179.0,0,False,False,0,False,False
0 days 00:00:06.200000000,26,1,R,B,1.0,2.0,778.0,1138.0,-134.0,371.0,188.0,0,False,False,0,False,False
0 days 00:00:06.400000000,26,1,R,B,1.0,2.0,826.0,1186.0,-131.0,410.0,184.0,0,False,False,0,False,False
0 days 00:00:06.600000000,26,1,R,B,1.0,2.0,853.0,1213.0,-129.0,405.0,182.0,0,False,False,0,False,False
0 days 00:00:06.800000000,26,1,R,B,1.0,2.0,842.0,1202.0,-130.0,390.0,183.0,0,False,False,0,False,False
0 days 00:00:07.000000000,26,1,R,B,1.0,2.0,812.0,1172.0,-132.0,375.0,182.0,0,False,False,0,False,False
0 days 00:00:07.200000000,26,1,R,B,1.0,2.0,783.0,1143.0,-134.0,376.0,184.0,0,False,False,0,False,False
0 days 00:00:07.400000000,26,1,R,B,1.0,2.0,753.0,1113.0,-135.0,356.0,179.0,0,False,False,0,False,False
0 days 00:00:07.600000000,26,1,R,B,1.0,2.0,726.0,1086.0,-137.0,347.0,175.0,0,False,False,0,False,False
0 days 00:00:07.800000000,26,1,R,B,1.0,2.0,736.0,1096.0,-136.0,347.0,172.0,0,False,False,0,False,False
0 days 00:00:08.000000000,26,1,R,B,1.0,2.0,783.0,1143.0,-133.0,402.0,178.0,0,False,False,0,False,False
0 days 00:00:08.200000000,26,1,R,B,1.0,2.0,769.0,1129.0,-134.0,337.0,168.0,0,False,False,0,False,False
0 days 00:00:08.400000000,26,1,R,B,1.0,2.0,741.0,1101.0,-136.0,374.0,179.0,0,False,False,0,False,False
0 days 00:00:08.600000000,26,1,R,B,1.0,2.0,760.0,1120.0,-135.0,361.0,179.0,0,False,False,0,False,False
0 days 00:00:08.800000000,26,1,R,B,1.0,2.0,738.0,1098.0,-136.0,342.0,175.0,0,False,False,0,False,False
0 days 00:00:09.000000000,26,1,R,B,1.0,2.0,764.0,1124.0,-134.0,384.0,171.0,0,False,False,0,False,False
0 days 00:00:09.200000000,26,1,R,B,1.0,2.0,838.0,1198.0,-129.0,425.0,176.0,0,False,False,0,False,False
0 days 00:00:09.400000000,26,1,R,B,1.0,2.0,843.0,1203.0,-129.0,389.0,167.0,0,False,False,0,False,False
0 days 00:00:09.600000000,26,1,R,B,1.0,2.0,783.0,1143.0,-133.0,356.0,178.0,0,False,False,0,False,False
0 days 00:00:09.800000000,26,1,R,B,1.0,2.0,748.0,1108.0,-135.0,361.0,170.0,0,False,False,0,False,False
0 days 00:00:10.000000000,26,1,R,B,1.0,2.0,728.0,1088.0,-137.0,344.0,183.0,0,False,False,0,False,False
0 days 00:00:10.200000000,26,1,R,B,1.0,2.0,696.0,1056.0,-139.0,336.0,176.0,0,False,False,0,False,False
0 days 00:00:10.400000000,26,1,R,B,1.0,2.0,720.0,1080.0,-137.0,364.0,178.0,0,False,False,0,False,False
0 days 00:00:10.600000000,26,1,R,B,1.0,2.0,733.0,1093.0,-137.0,347.0,172.0,0,False,False,0,False,False
0 days 00:00:10.800000000,26,1,R,B,1.0,2.0,724.0,1084.0,-137.0,347.0,176.0,0,False,False,0,False,False
0 days 00:00:11.000000000,26,1,R,B,1.0,2.0,756.0,1116.0,-134.0,368.0,175.0,0,False,False,0,False,False
