package_time,extruder,machine,position,threadline,thread_presence,winder_status,magnitude,raw_magnitude,raw_phase,amplitude,nodes_per_sample,doff_change,start_of_package,end_of_package,thread_presence_change,start_of_line_break,end_of_line_break
0 days 00:00:00.000000000,26,1,R,C,1.0,2.0,1080.0,1561.0,279.0,464.0,178.0,1,True,False,0,False,False
0 days 00:00:00.200000000,26,1,R,C,1.0,2.0,1068.0,1549.0,278.0,452.0,185.0,0,False,False,0,False,False
0 days 00:00:00.400000000,26,1,R,C,1.0,2.0,1062.0,1543.0,278.0,458.0,179.0,0,False,False,0,False,False
0 days 00:00:00.600000000,26,1,R,C,1.0,2.0,1111.0,1592.0,281.0,505.0,182.0,0,False,False,0,False,False
0 days 00:00:00.800000000,26,1,R,C,1.0,2.0,1102.0,1583.0,280.0,449.0,183.0,0,False,False,0,False,False
0 days 00:00:01.000000000,26,1,R,C,1.0,2.0,1048.0,1529.0,277.0,429.0,184.0,0,False,False,0,False,False
0 days 00:00:01.200000000,26,1,R,C,1.0,2.0,1041.0,1522.0,277.0,455.0,181.0,0,False,False,0,False,False
0 days 00:00:01.400000000,26,1,R,C,1.0,2.0,1040.0,1521.0,277.0,444.0,187.0,0,False,False,0,False,False
0 days 00:00:01.600000000,26,1,R,C,1.0,2.0,1023.0,1504.0,276.0,413.0,185.0,0,False,False,0,False,False
0 days 00:00:01.800000000,26,1,R,C,1.0,2.0,1005.0,1486.0,276.0,423.0,178.0,0,False,False,0,False,False
0 days 00:00:02.000000000,26,1,R,C,1.0,2.0,1007.0,1488.0,276.0,446.0,179.0,0,False,False,0,False,False
0 days 00:00:02.200000000,26,1,R,C,1.0,2.0,1034.0,1515.0,277.0,457.0,187.0,0,False,False,0,False,False
0 days 00:00:02.400000000,26,1,R,C,1.0,2.0,1072.0,1553.0,279.0,501.0,174.0,0,False,False,0,False,False
0 days 00:00:02.600000000,26,1,R,C,1.0,2.0,1045.0,1526.0,278.0,427.0,187.0,0,False,False,0,False,False
0 days 00:00:02.800000000,26,1,R,C,1.0,2.0,1005.0,1486.0,276.0,433.0,183.0,0,False,False,0,False,False
0 days 00:00:03.000000000,26,1,R,C,1.0,2.0,1041.0,1522.0,278.0,466.0,186.0,0,False,False,0,False,False
0 days 00:00:03.200000000,26,1,R,C,1.0,2.0,1093.0,1574.0,281.0,494.0,181.0,0,False,False,0,False,False
0 days 00:00:03.400000000,26,1,R,C,1.0,2.0,1063.0,1544.0,279.0,425.0,185.0,0,False,False,0,False,False
0 days 00:00:03.600000000,26,1,R,C,1.0,2.0,1035.0,1516.0,277.0,457.0,183.0,0,False,False,0,False,False
0 days 00:00:03.800000000,26,1,R,C,1.0,2.0,1057.0,1538.0,278.0,460.0,182.0,0,False,False,0,False,False
0 days 00:00:04.000000000,26,1,R,C,1.0,2.0,1052.0,1533.0,278.0,458.0,181.0,0,False,False,0,False,False
0 days 00:00:04.200000000,26,1,R,C,1.0,2.0,1069.0,1550.0,279.0,480.0,188.0,0,False,False,0,False,False
0 days 00:00:04.400000000,26,1,R,C,1.0,2.0,1053.0,1534.0,278.0,436.0,181.0,0,False,False,0,False,False
0 days 00:00:04.600000000,26,1,R,C,1.0,2.0,1008.0,1489.0,276.0,429.0,180.0,0,False,False,0,False,False
0 days 00:00:04.800000000,26,1,R,C,1.0,2.0,1016.0,1497.0,276.0,464.0,180.0,0,False,False,0,False,False
0 days 00:00:05.000000000,26,1,R,C,1.0,2.0,1038.0,1519.0,278.0,450.0,179.0,0,False,False,0,False,False
0 days 00:00:05.200000000,26,1,R,C,1.0,2.0,1029.0,1510.0,277.0,450.0,169.0,0,False,False,0,False,False
0 days 00:00:05.400000000,26,1,R,C,1.0,2.0,1008.0,1489.0,276.0,426.0,182.0,0,False,False,0,False,False
0 days 00:00:05.600000000,26,1,R,C,1.0,2.0,1015.0,1496.0,277.0,448.0,181.0,0,False,False,0,False,False
0 days 00:00:05.800000000,26,1,R,C,1.0,2.0,1022.0,1503.0,277.0,453.0,181.0,0,False,False,0,False,False
0 days 00:00:06.000000000,26,1,R,C,1.0,2.0,1005.0,1486.0,276.0,430.0,186.0,0,False,False,0,False,False
0 days 00:00:06.200000000,26,1,R,C,1.0,2.0,995.0,1476.0,276.0,432.0,185.0,0,False,False,0,False,False
0 days 00:00:06.400000000,26,1,R,C,1.0,2.0,996.0,1477.0,276.0,434.0,178.0,0,False,False,0,False,False
0 days 00:00:06.600000000,26,1,R,C,1.0,2.0,994.0,1475.0,275.0,444.0,178.0,0,False,False,0,False,False
0 days 00:00:06.800000000,26,1,R,C,1.0,2.0,982.0,1463.0,275.0,416.0,176.0,0,False,False,0,False,False
0 days 00:00:07.000000000,26,1,R,C,1.0,2.0,983.0,1464.0,275.0,411.0,179.0,0,False,False,0,False,False
0 days 00:00:07.200000000,26,1,R,C,1.0,2.0,987.0,1468.0,275.0,422.0,183.0,0,False,False,0,False,False
0 days 00:00:07.400000000,26,1,R,C,1.0,2.0,999.0,1480.0,275.0,452.0,171.0,0,False,False,0,False,False
0 days 00:00:07.600000000,26,1,R,C,1.0,2.0,1017.0,1498.0,277.0,448.0,181.0,0,False,False,0,False,False
0 days 00:00:07.800000000,26,1,R,C,1.0,2.0,1016.0,1497.0,277.0,446.0,183.0,0,False,False,0,False,False
0 days 00:00:08.000000000,26,1,R,C,1.0,2.0,1004.0,1485.0,276.0,423.0,181.0,0,False,False,0,False,False
0 days 00:00:08.200000000,26,1,R,C,1.0,2.0,1036.0,1517.0,278.0,497.0,174.0,0,False,False,0,False,False
0 days 00:00:08.400000000,26,1,R,C,1.0,2.0,1030.0,1511.0,277.0,423.0,175.0,0,False,False,0,False,False
0 days 00:00:08.600000000,26,1,R,C,1.0,2.0,988.0,1469.0,275.0,419.0,182.0,0,False,False,0,False,False
0 days 00:00:08.800000000,26,1,R,C,1.0,2.0,981.0,1462.0,275.0,405.0,178.0,0,False,False,0,False,False
0 days 00:00:09.000000000,26,1,R,C,1.0,2.0,971.0,1452.0,275.0,431.0,180.0,0,False,False,0,False,False
0 days 00:00:09.200000000,26,1,R,C,1.0,2.0,945.0,1426.0,273.0,397.0,174.0,0,False,False,0,False,False
0 days 00:00:09.400000000,26,1,R,C,1.0,2.0,895.0,1376.0,270.0,374.0,183.0,0,False,False,0,False,False
0 days 00:00:09.600000000,26,1,R,C,1.0,2.0,902.0,1383.0,270.0,426.0,181.0,0,False,False,0,False,False
0 days 00:00:09.800000000,26,1,R,C,1.0,2.0,955.0,1436.0,273.0,447.0,171.0,0,False,False,0,False,False
0 days 00:00:10.000000000,26,1,R,C,1.0,2.0,975.0,1456.0,274.0,430.0,180.0,0,False,False,0,False,False
0 days 00:00:10.200000000,26,1,R,C,1.0,2.0,957.0,1438.0,273.0,411.0,182.0,0,False,False,0,False,False
0 days 00:00:10.400000000,26,1,R,C,1.0,2.0,947.0,1428.0,273.0,425.0,176.0,0,False,False,0,False,False
0 days 00:00:10.600000000,26,1,R,C,1.0,2.0,968.0,1449.0,275.0,426.0,171.0,0,False,False,0,False,False
0 days 00:00:10.800000000,26,1,R,C,1.0,2.0,1024.0,1505.0,278.0,496.0,176.0,0,False,False,0,False,False
0 days 00:00:11.000000000,26,1,R,C,1.0,2.0,1009.0,1490.0,277.0,416.0,181.0,0,False,False,0,False,False
0 days 00:00:11.200000000,26,1,R,C,1.0,2.0,995.0,1476.0,276.0,474.0,177.0,0,False,False,0,False,False
0 days 00:00:11.400000000,26,1,R,C,1.0,2.0,1006.0,1487.0,276.0,408.0,184.0,0,False,False,0,False,False
0 days 00:00:11.600000000,26,1,R,C,1.0,2.0,985.0,1466.0,275.0,434.0,178.0,0,False,False,0,False,False
0 days 00:00:11.800000000,26,1,R,C,1.0,2.0,969.0,1450.0,275.0,411.0,180.0,0,False,False,0,False,False
0 days 00:00:12.000000000,26,1,R,C,1.0,2.0,964.0,1445.0,275.0,441.0,184.0,0,False,False,0,False,False
0 days 00:00:12.200000000,26,1,R,C,1.0,2.0,993.0,1474.0,276.0,441.0,176.0,0,False,False,0,False,False
0 days 00:00:12.400000000,26,1,R,C,1.0,2.0,996.0,1477.0,277.0,438.0,180.0,0,False,False,0,False,False
0 days 00:00:12.600000000,26,1,R,C,1.0,2.0,1001.0,1482.0,277.0,431.0,181.0,0,False,False,0,False,False
0 days 00:00:12.800000000,26,1,R,C,1.0,2.0,1010.0,1491.0,277.0,432.0,183.0,0,False,False,0,False,False
0 days 00:00:13.000000000,26,1,R,C,1.0,2.0,1014.0,1495.0,278.0,446.0,179.0,0,False,False,0,False,False
0 days 00:00:13.200000000,26,1,R,C,1.0,2.0,1041.0,1522.0,279.0,487.0,180.0,0,False,False,0,False,False
0 days 00:00:13.400000000,26,1,R,C,1.0,2.0,1052.0,1533.0,280.0,481.0,179.0,0,False,False,0,False,False
0 days 00:00:13.600000000,26,1,R,C,1.0,2.0,1000.0,1481.0,277.0,417.0,176.0,0,False,False,0,False,False
0 days 00:00:13.800000000,26,1,R,C,1.0,2.0,947.0,1428.0,274.0,416.0,180.0,0,False,False,0,False,False
0 days 00:00:14.000000000,26,1,R,C,1.0,2.0,940.0,1421.0,274.0,417.0,178.0,0,False,False,0,False,False
0 days 00:00:14.200000000,26,1,R,C,1.0,2.0,965.0,1446.0,275.0,442.0,180.0,0,False,False,0,False,False
0 days 00:00:14.400000000,26,1,R,C,1.0,2.0,989.0,1470.0,277.0,436.0,178.0,0,False,False,0,False,False
0 days 00:00:14.600000000,26,1,R,C,1.0,2.0,962.0,1443.0,275.0,403.0,187.0,0,False,False,0,False,False
0 days 00:00:14.800000000,26,1,R,C,1.0,2.0,936.0,1417.0,274.0,406.0,174.0,0,False,False,0,False,False
0 days 00:00:15.000000000,26,1,R,C,1.0,2.0,950.0,1431.0,275.0,448.0,175.0,0,False,False,0,False,False
0 days 00:00:15.200000000,26,1,R,C,1.0,2.0,984.0,1465.0,276.0,458.0,172.0,0,False,False,0,False,False
0 days 00:00:15.400000000,26,1,R,C,1.0,2.0,989.0,1470.0,276.0,414.0,179.0,0,False,False,0,False,False
0 days 00:00:15.600000000,26,1,R,C,1.0,2.0,965.0,1446.0,275.0,405.0,181.0,0,False,False,0,False,False
0 days 00:00:15.800000000,26,1,R,C,1.0,2.0,987.0,1468.0,276.0,459.0,182.0,0,False,False,0,False,False
0 days 00:00:16.000000000,26,1,R,C,1.0,2.0,1000.0,1481.0,277.0,438.0,172.0,0,False,False,0,False,False
0 days 00:00:16.200000000,26,1,R,C,1.0,2.0,959.0,1440.0,275.0,409.0,172.0,0,False,False,0,False,False
0 days 00:00:16.400000000,26,1,R,C,1.0,2.0,943.0,1424.0,273.0,409.0,188.0,0,False,False,0,False,False
0 days 00:00:16.600000000,26,1,R,C,1.0,2.0,965.0,1446.0,275.0,450.0,174.0,0,False,False,0,False,False
0 days 00:00:16.800000000,26,1,R,C,1.0,2.0,978.0,1459.0,276.0,431.0,187.0,0,False,False,0,False,False
0 days 00:00:17.000000000,26,1,R,C,1.0,2.0,972.0,1453.0,275.0,435.0,181.0,0,False,False,0,False,False
