package_time,extruder,machine,position,threadline,thread_presence,winder_status,magnitude,raw_magnitude,raw_phase,amplitude,nodes_per_sample,doff_change,start_of_package,end_of_package,thread_presence_change,start_of_line_break,end_of_line_break
0 days 00:00:00.000000000,26,2,L,D,1.0,2.0,1094.0,1516.0,258.0,428.0,169.0,0,False,False,0,False,False
0 days 00:00:00.200000000,26,2,L,D,1.0,2.0,1116.0,1538.0,259.0,394.0,166.0,0,False,False,0,False,False
0 days 00:00:00.400000000,26,2,L,D,1.0,2.0,1122.0,1544.0,259.0,413.0,172.0,0,False,False,0,False,False
0 days 00:00:00.600000000,26,2,L,D,1.0,2.0,1092.0,1514.0,257.0,386.0,157.0,0,False,False,0,False,False
0 days 00:00:00.800000000,26,2,L,D,1.0,2.0,1077.0,1499.0,257.0,402.0,176.0,0,False,False,0,False,False
0 days 00:00:01.000000000,26,2,L,D,1.0,2.0,1108.0,1530.0,258.0,434.0,168.0,0,False,False,0,False,False
0 days 00:00:01.200000000,26,2,L,D,1.0,2.0,1109.0,1531.0,258.0,414.0,180.0,0,False,False,0,False,False
0 days 00:00:01.400000000,26,2,L,D,1.0,2.0,1056.0,1478.0,255.0,373.0,176.0,0,False,False,0,False,False
0 days 00:00:01.600000000,26,2,L,D,1.0,2.0,1000.0,1422.0,252.0,353.0,179.0,0,False,False,0,False,False
0 days 00:00:01.800000000,26,2,L,D,1.0,2.0,1016.0,1438.0,253.0,392.0,172.0,0,False,False,0,False,False
0 days 00:00:02.000000000,26,2,L,D,1.0,2.0,1081.0,1503.0,257.0,417.0,186.0,0,False,False,0,False,False
0 days 00:00:02.200000000,26,2,L,D,1.0,2.0,1107.0,1529.0,259.0,408.0,180.0,0,False,False,0,False,False
0 days 00:00:02.400000000,26,2,L,D,1.0,2.0,1079.0,1501.0,257.0,400.0,172.0,0,False,False,0,False,False
0 days 00:00:02.600000000,26,2,L,D,1.0,2.0,1049.0,1471.0,255.0,383.0,176.0,0,False,False,0,False,False
0 days 00:00:02.800000000,26,2,L,D,1.0,2.0,1065.0,1487.0,256.0,413.0,180.0,0,False,False,0,False,False
0 days 00:00:03.000000000,26,2,L,D,1.0,2.0,1088.0,1510.0,258.0,415.0,181.0,0,False,False,0,False,False
0 days 00:00:03.200000000,26,2,L,D,1.0,2.0,1090.0,1512.0,258.0,399.0,164.0,0,False,False,0,False,False
0 days 00:00:03.400000000,26,2,L,D,1.0,2.0,1104.0,1526.0,259.0,420.0,162.0,0,False,False,0,False,False
0 days 00:00:03.600000000,26,2,L,D,1.0,2.0,1087.0,1509.0,259.0,392.0,165.0,0,False,False,0,False,False
0 days 00:00:03.800000000,26,2,L,D,1.0,2.0,1087.0,1509.0,258.0,416.0,165.0,0,False,False,0,False,False
0 days 00:00:04.000000000,26,2,L,D,1.0,2.0,1095.0,1517.0,258.0,398.0,180.0,0,False,False,0,False,False
0 days 00:00:04.200000000,26,2,L,D,1.0,2.0,1072.0,1494.0,256.0,407.0,169.0,0,False,False,0,False,False
0 days 00:00:04.400000000,26,2,L,D,1.0,2.0,1046.0,1468.0,255.0,389.0,164.0,0,False,False,0,False,False
0 days 00:00:04.600000000,26,2,L,D,1.0,2.0,1019.0,1441.0,254.0,366.0,172.0,0,False,False,0,False,False
0 days 00:00:04.800000000,26,2,L,D,1.0,2.0,1029.0,1451.0,254.0,407.0,167.0,0,False,False,0,False,False
0 days 00:00:05.000000000,26,2,L,D,1.0,2.0,1054.0,1476.0,256.0,408.0,176.0,0,False,False,0,False,False
0 days 00:00:05.200000000,26,2,L,D,1.0,2.0,1067.0,1489.0,257.0,409.0,171.0,0,False,False,0,False,False
0 days 00:00:05.400000000,26,2,L,D,1.0,2.0,1044.0,1466.0,256.0,383.0,167.0,0,False,False,0,False,False
0 days 00:00:05.600000000,26,2,L,D,1.0,2.0,1029.0,1451.0,255.0,408.0,161.0,0,False,False,0,False,False
0 days 00:00:05.800000000,26,2,L,D,1.0,2.0,1050.0,1472.0,256.0,392.0,176.0,0,False,False,0,False,False
0 days 00:00:06.000000000,26,2,L,D,1.0,2.0,1050.0,1472.0,256.0,393.0,167.0,0,False,False,0,False,False
0 days 00:00:06.200000000,26,2,L,D,1.0,2.0,1036.0,1458.0,255.0,380.0,178.0,0,False,False,0,False,False
0 days 00:00:06.400000000,26,2,L,D,1.0,2.0,1076.0,1498.0,258.0,417.0,170.0,0,False,False,0,False,False
0 days 00:00:06.600000000,26,2,L,D,1.0,2.0,1084.0,1506.0,259.0,390.0,175.0,0,False,False,0,False,False
0 days 00:00:06.800000000,26,2,L,D,1.0,2.0,1045.0,1467.0,256.0,385.0,179.0,0,False,False,0,False,False
0 days 00:00:07.000000000,26,2,L,D,1.0,2.0,1054.0,1476.0,257.0,414.0,170.0,0,False,False,0,False,False
0 days 00:00:07.200000000,26,2,L,D,1.0,2.0,1061.0,1483.0,256.0,410.0,180.0,0,False,False,0,False,False
0 days 00:00:07.400000000,26,2,L,D,1.0,2.0,1047.0,1469.0,256.0,390.0,170.0,0,False,False,0,False,False
0 days 00:00:07.600000000,26,2,L,D,1.0,2.0,1027.0,1449.0,255.0,367.0,174.0,0,False,False,0,False,False
0 days 00:00:07.800000000,26,2,L,D,1.0,2.0,1052.0,1474.0,256.0,391.0,178.0,0,False,False,0,False,False
0 days 00:00:08.000000000,26,2,L,D,1.0,2.0,1113.0,1535.0,260.0,437.0,180.0,0,False,False,0,False,False
0 days 00:00:08.200000000,26,2,L,D,1.0,2.0,1122.0,1544.0,260.0,413.0,186.0,0,False,False,0,False,False
0 days 00:00:08.400000000,26,2,L,D,1.0,2.0,1100.0,1522.0,259.0,420.0,167.0,0,False,False,0,False,False
0 days 00:00:08.600000000,26,2,L,D,1.0,2.0,1078.0,1500.0,257.0,416.0,183.0,0,False,False,0,False,False
0 days 00:00:08.800000000,26,2,L,D,1.0,2.0,1041.0,1463.0,255.0,385.0,173.0,0,False,False,0,False,False
0 days 00:00:09.000000000,26,2,L,D,1.0,2.0,1025.0,1447.0,255.0,386.0,173.0,0,False,False,0,False,False
0 days 00:00:09.200000000,26,2,L,D,1.0,2.0,1021.0,1443.0,255.0,380.0,170.0,0,False,False,0,False,False
0 days 00:00:09.400000000,26,2,L,D,1.0,2.0,1012.0,1434.0,254.0,374.0,174.0,0,False,False,0,False,False
0 days 00:00:09.600000000,26,2,L,D,1.0,2.0,998.0,1420.0,253.0,361.0,173.0,0,False,False,0,False,False
0 days 00:00:09.800000000,26,2,L,D,1.0,2.0,993.0,1415.0,253.0,383.0,170.0,0,False,False,0,False,False
0 days 00:00:10.000000000,26,2,L,D,1.0,2.0,995.0,1417.0,254.0,369.0,171.0,0,False,False,0,False,False
0 days 00:00:10.200000000,26,2,L,D,1.0,2.0,1015.0,1437.0,255.0,410.0,166.0,0,False,False,0,False,False
